team_h,team_a,team_a_difficulty,team_h_difficulty,season
11,5,3,4,19_20
2,6,4,2,19_20
18,9,3,2,19_20
17,12,4,3,19_20
14,16,2,2,19_20
19,20,3,2,19_20
8,10,5,2,19_20
13,15,3,2,19_20
4,1,4,2,19_20
6,8,4,4,19_20
10,3,2,4,19_20
5,17,4,3,19_20
7,18,3,3,19_20
12,11,4,4,19_20
9,2,2,3,19_20
16,13,2,3,19_20
15,14,2,3,19_20
20,4,2,4,19_20
1,19,2,3,19_20
18,10,5,2,19_20
13,5,3,2,19_20
3,6,4,2,19_20
14,9,3,2,19_20
2,15,3,2,19_20
19,16,2,2,19_20
8,12,4,2,19_20
17,20,3,3,19_20
11,1,4,4,19_20
4,7,3,2,19_20
1,8,4,3,19_20
16,2,2,3,19_20
5,3,2,3,19_20
15,4,2,3,19_20
7,13,2,3,19_20
20,14,2,4,19_20
9,11,4,3,19_20
12,18,3,4,19_20
6,17,4,4,19_20
4,17,4,2,19_20
14,2,2,2,19_20
1,3,2,3,19_20
16,6,4,3,19_20
19,7,3,2,19_20
5,8,4,3,19_20
18,15,3,2,19_20
13,12,4,2,19_20
10,9,3,4,19_20
11,20,3,4,19_20
3,4,2,2,19_20
8,13,2,2,19_20
7,16,2,3,19_20
2,18,3,2,19_20
17,14,2,3,19_20
9,19,2,3,19_20
12,5,3,4,19_20
6,1,4,4,19_20
20,10,5,4,19_20
15,11,4,3,19_20
6,4,2,4,19_20
2,5,3,2,19_20
9,13,2,3,19_20
17,16,2,3,19_20
20,18,3,4,19_20
8,11,4,2,19_20
7,14,2,3,19_20
3,19,2,2,19_20
12,1,4,4,19_20
15,10,5,3,19_20
19,15,3,2,19_20
1,7,3,3,19_20
5,6,4,3,19_20
4,8,4,2,19_20
16,9,3,3,19_20
14,12,4,2,19_20
13,20,3,2,19_20
10,17,4,4,19_20
18,3,2,2,19_20
11,2,2,4,19_20
17,18,3,3,19_20
15,1,4,3,19_20
2,4,2,2,19_20
7,11,4,3,19_20
3,14,2,2,19_20
20,16,2,4,19_20
8,19,2,2,19_20
6,13,2,4,19_20
9,5,3,3,19_20
12,10,5,4,19_20
18,2,2,2,19_20
4,3,2,2,19_20
16,7,3,3,19_20
13,8,4,2,19_20
11,15,3,4,19_20
1,6,4,3,19_20
19,9,3,2,19_20
14,17,4,2,19_20
5,12,4,3,19_20
10,20,3,4,19_20
10,19,2,4,19_20
6,9,3,4,19_20
2,3,2,2,19_20
15,7,3,3,19_20
16,10,5,3,19_20
14,13,2,2,19_20
8,18,3,2,19_20
4,19,2,2,19_20
20,12,4,4,19_20
1,5,3,3,19_20
11,17,4,4,19_20
7,8,4,3,19_20
18,4,2,2,19_20
3,15,3,2,19_20
9,20,3,3,19_20
5,16,2,3,19_20
10,14,2,4,19_20
17,2,2,3,19_20
13,1,4,2,19_20
12,6,4,4,19_20
19,11,4,2,19_20
17,6,4,3,19_20
3,5,3,2,19_20
13,7,3,2,19_20
4,15,3,2,19_20
2,16,2,2,19_20
11,9,3,4,19_20
18,12,4,2,19_20
14,20,3,2,19_20
8,1,4,2,19_20
19,10,5,2,19_20
9,14,2,3,19_20
7,4,2,3,19_20
6,3,2,4,19_20
5,13,2,3,19_20
16,19,2,3,19_20
10,18,3,4,19_20
12,8,4,4,19_20
20,17,4,4,19_20
3,10,5,2,19_20
19,1,4,2,19_20
18,7,3,2,19_20
14,15,3,2,19_20
13,16,2,2,19_20
4,20,3,2,19_20
17,5,3,3,19_20
8,6,4,2,19_20
11,12,4,4,19_20
2,9,3,2,19_20
15,2,2,3,19_20
1,11,4,3,19_20
16,14,2,3,19_20
12,17,4,4,19_20
9,18,3,3,19_20
1,4,2,3,19_20
20,19,2,4,19_20
7,3,2,3,19_20
15,13,2,3,19_20
6,2,2,4,19_20
10,8,4,4,19_20
5,11,4,3,19_20
4,9,3,2,19_20
19,17,4,2,19_20
15,12,4,3,19_20
2,13,2,2,19_20
8,14,2,2,19_20
3,20,3,2,19_20
7,10,5,3,19_20
18,5,3,2,19_20
1,16,2,3,19_20
11,6,4,4,19_20
20,2,2,4,19_20
16,18,3,3,19_20
5,7,3,3,19_20
12,4,2,4,19_20
14,1,4,2,19_20
13,3,2,2,19_20
9,8,4,3,19_20
6,19,2,4,19_20
17,15,3,3,19_20
10,11,4,4,19_20
4,14,2,2,19_20
7,9,3,3,19_20
3,12,4,2,19_20
1,20,3,3,19_20
18,6,4,2,19_20
15,5,3,3,19_20
19,13,2,2,19_20
2,10,5,2,19_20
11,16,2,4,19_20
8,17,4,2,19_20
6,7,3,4,19_20
14,18,3,2,19_20
9,1,4,3,19_20
13,11,4,2,19_20
20,15,3,4,19_20
5,19,2,3,19_20
10,4,2,4,19_20
17,3,2,3,19_20
16,8,4,3,19_20
12,2,2,4,19_20
19,14,2,2,19_20
13,18,3,2,19_20
5,10,5,3,19_20
6,15,3,4,19_20
11,4,2,4,19_20
8,20,3,2,19_20
7,2,2,3,19_20
1,17,4,3,19_20
9,3,2,3,19_20
16,12,4,3,19_20
14,6,4,2,19_20
20,5,3,4,19_20
3,11,4,2,19_20
17,13,2,3,19_20
