season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize
"['2020-21', '2021-22']",GK,5.981592178344727,9.901073455810547,9.492074012756348,1.8503144979476929,2.4294934272766113,2.265780210494995,False,3,2,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.286931991577148,9.17330551147461,7.67620849609375,1.7115265130996704,2.27776837348938,1.9982596635818481,False,3,2,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.415123462677002,7.3180766105651855,7.197484493255615,1.9491007328033447,2.031203508377075,1.886387825012207,False,3,2,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.297295570373535,6.942947864532471,6.750434875488281,2.085738182067871,1.9475531578063965,1.9188038110733032,False,3,2,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.162883758544922,9.83742904663086,9.480937957763672,1.864343523979187,2.5399861335754395,2.4434494972229004,False,3,2,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.85028076171875,8.359495162963867,7.212436676025391,2.0002026557922363,2.136206865310669,2.108731508255005,False,3,2,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.2265496253967285,7.017420291900635,8.797714233398438,1.979671597480774,1.9046870470046997,2.1407623291015625,False,3,2,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.13838005065918,7.065182209014893,7.819211959838867,1.9439191818237305,1.880984902381897,2.0872676372528076,False,3,2,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.901780605316162,7.317191123962402,7.955766201019287,2.014204263687134,2.033456802368164,2.0495846271514893,False,3,2,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.822232246398926,7.735411643981934,7.965821266174316,1.9708163738250732,2.133314371109009,2.0605738162994385,False,3,2,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
