season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize,amt_num_features
"['2020-21', '2021-22']",DEF,7.174369812011719,7.316771984100342,7.30038595199585,1.9734292030334473,2.036081075668335,1.926499366760254,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,4.521363258361816,5.160041809082031,5.365268707275391,1.2000685930252075,1.2788423299789429,1.3775203227996826,False,3,2,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,7.1038312911987305,7.658581733703613,6.829904079437256,1.9171781539916992,2.038134813308716,1.9070194959640503,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,5.163512706756592,4.063730716705322,4.242890357971191,1.3612726926803589,1.1822717189788818,1.2087112665176392,False,6,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,7.417933940887451,7.06001615524292,6.477458953857422,1.8774480819702148,1.8149490356445312,1.819307565689087,False,6,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,5.11408805847168,3.85349178314209,4.84495735168457,1.2961492538452148,1.0703957080841064,1.257257342338562,False,6,2,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,7.0693159103393555,6.853348731994629,7.820184707641602,1.8889169692993164,1.8281266689300537,2.018836498260498,False,6,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,4.703066349029541,4.851505279541016,4.709632873535156,1.2494895458221436,1.2903954982757568,1.2699081897735596,False,6,3,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,6.94524621963501,7.89519739151001,6.633278846740723,1.8660526275634766,1.9601339101791382,1.839098572731018,False,6,3,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,4.828681468963623,4.877327919006348,4.8200836181640625,1.1697860956192017,1.178958773612976,1.2092483043670654,False,6,4,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,7.218315124511719,6.797379016876221,7.304733753204346,1.943143606185913,1.8542691469192505,1.9907464981079102,False,6,4,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",DEF,4.8011322021484375,4.8571882247924805,4.663485050201416,1.2479010820388794,1.2435481548309326,1.1807231903076172,False,9,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
